"keyword","impression","click","cost","ranking","conversion"
"海口特价机票",12,1,0.64,8.25,0
"广州订机票-电话",16,1,0.73,8.45,0
"广州机票特价",143,3,2.35,8.9,0
"广州便宜飞机票",5,1,0.98,3,0
"深圳-预订机票",80,4,3.49,5.89,0
"途牛网机票查询",29,1,0.46,1.04,0
"厦门打折机票查询",4,1,0.74,5.5,0
"杭州打折机票",64,1,0.47,6.45,0
"杭州机票网",13,2,1.93,3.63,0
"三亚-机票",17,3,1.84,3.4,0
"厦门特价飞机票",40,2,1.41,8.8,0
"什么网定机票最便宜",7,1,0.49,5,0
"哪里机票便宜",17,2,0.83,8,0
"三亚机票",118,2,1.93,5.86,0
"便宜机票订购",32,1,0.68,8.9,0
"打折机票",2850,55,54.97,10.08,1
"海口机票",23,3,1.78,3.9,0
"广州飞机票",75,1,0.53,8.1,0
"杭州机票",78,1,0.67,7.44,0
"机票预订",4406,55,27.44,11.1,2
"途牛特价机票网",6,1,0.48,1.33,0
"上海机票预订",58,2,2.14,6.77,0
"广州特价机票",45,3,1.59,7.39,0
"北京到泸州特价机票",2,1,1.5,2,0
"特价五一飞机票",3,1,1.29,3,0
"订机票官网",301,1,0.49,11.29,0
"南京飞机",176,1,0.69,7.84,0
"天津飞机票-预订",9,2,1.36,9.57,0
"广州折扣机票",11,1,0.92,4.38,0
"北京便宜机票",64,2,0.99,6.88,0
"哪个网站的机票最便宜",29,2,0.84,7.35,0
"机票最便宜",26,3,2.52,2.29,0
"武汉机票价格",5,1,0.55,7.5,0
"特价飞机票网",40,1,0.44,7.05,0
"无锡飞机票",7,1,0.75,5.71,0
"哈尔滨机票",48,2,1.18,8.58,0
"上海廉价机票",18,2,1.93,3.67,0
"天津飞机票查询",3,1,0.65,9.5,0
"预订五一机票",6,1,1.3,7,0
"呼和浩特航班查询",20,1,0.68,4.73,0
"南京-飞机票",235,1,0.9,8.29,0
"机票查询携程网",1642,22,10.05,8.44,1
"广州特价飞机票",71,2,1.36,9.53,0
"昆明的航班",85,1,0.51,6.26,0
"哈尔滨机票价格",40,1,0.79,7.67,0
"飞机票网上订票官网",4086,10,5.26,11.78,0
"三亚定机票",4,1,0.61,8,0
"打折机票",1655,26,13.23,10.86,1
"哪里买飞机票便宜",64,1,0.34,7.89,0
"北京飞机票查询",24,1,0.44,10.09,1
"深圳打折机票",2053,43,34.63,9.18,0
"飞机票预订",5913,66,52.53,10.35,1
"温州机票",15,1,0.75,7.29,0
"武汉机票预订",12,1,0.76,9.89,0
"北京特价机票",45,3,2.25,4.07,0
"深圳特价机票查询网",74,1,1.1,7.32,0
"什么网站机票最便宜",20,2,1,6.53,0
"怎么买飞机票最便宜",29,1,0.47,7.29,0
"上海-预订机票",352,3,1.3,9.59,0
"深圳打折机票",795,10,7.88,8.77,0
"订哈尔滨机票",5,1,0.76,5.5,0
"烟台航班时刻表",20,1,0.73,4.13,0
"预订便宜机票",93,10,10.57,6.59,0
"广州特价机票网",14,2,1.53,4.08,0
"订购机票",338,14,8.81,9.69,0
"上海便宜飞机票",86,1,0.76,8.75,0
"上海到青岛特价机票",25,2,3.86,18.52,0
"乌鲁木齐特价机票",2265,69,50.37,6.92,2
"什么时候机票便宜",4,1,0.5,2,0
"北京机票订购",549,12,8.18,7.46,2
"北京-机票价格",250,6,4.21,8.35,0
"北京航班查询",38,1,0.57,6.43,0
"上海机票",32,1,0.63,10.34,0
"天津特价机票网",11,1,0.58,10.38,0
"上海飞机票多少钱",28,1,0.63,6.39,0
"成都机票预订",19,1,0.72,12.31,0
"网上便宜往返机票",3,1,0.77,4,0
"上海机票价格查询",107,2,1.95,10.25,0
"机票预订官网",488,11,6.16,8.02,0
"深圳定机票",7,2,2.51,2.75,0
"最便宜的机票",66,19,19.79,4,0
"广州到太原特价机票",3,1,1.86,7,0
"什么网站机票最便宜",31,2,0.87,3.7,0
"预定便宜机票",715,25,15.38,8.84,1
"长沙飞机票网上订票",2,1,0.72,6,0
"特价飞机票价格查询",55,1,0.44,9,0
"便宜机票",116,14,11.85,3.29,1
"大连的机票",9,1,0.52,5.29,0
"机票预订",8904,227,86.78,9.47,13
"飞机票的查询",71,2,0.96,9.09,0
"网上订机票哪个网站好",61,1,0.46,10.95,0
"呼和浩特航班时刻表",26,1,0.63,4.46,0
"买飞机票",73,2,1.17,9.33,0
"广州机票预定",14,1,0.81,8.92,0
"深圳飞机票预定",4,1,0.85,3,0
"太原低价机票",155,2,1.39,7.44,0
"飞机票预订",798,3,3.63,12.82,0
"元旦便宜机票",5,1,0.95,7,0
"杭州飞机票查询",91,2,1.29,9.49,1
"北京加格达奇航班",4,1,0.59,3,0
"沈阳特价机票预订",4,1,0.45,7,0
"宁波特价机票",19,1,0.56,4.31,0
"订机票-深圳",188,3,2.12,8.26,0
"网上机票",2615,15,7.58,7.35,0
"抢机票",22,1,0.68,6.68,0
"深圳飞机票",75,4,2.63,7.72,0
"哈尔滨航班时刻表",119,4,2.5,5.04,0
"春节打折机票",19,2,2,4.5,0
"郑州特价机票查询",25,1,1.05,8.86,0
"西安特价飞机票",254,1,1.03,8.72,0
"北京机票票价查询",347,15,9.03,6.76,0
"深圳机票查询",163,10,7.88,5.53,0
"石家庄特价机票",12,1,0.66,4.5,0
"机票预订网",900,21,11.9,9.26,9
"济南的航班",111,2,0.6,6.14,0
"珠海的飞机",34,1,0.53,4.87,0
"广州-特价机票",40,1,0.97,6.95,0
"烟台航班时刻表",69,2,0.96,3.8,0
"南昌机票-网",10,1,0.4,10,0
"威海机票",12,1,0.43,10.3,0
"武夷山飞机票",9,1,0.74,5.25,0
"海口特价飞机票",55,2,1.28,5.88,1
"酷讯网特价机票",97,1,0.45,6.27,0
"三亚机票",432,11,7.8,7.73,0
"飞机票预订",2096,16,11.64,10.83,3
"往返机票",107,3,3.53,7.91,1
"网上机票",970,5,5.3,6.83,0
"郑州特价机票",108,2,1.62,8.47,0
"酷讯特价机票",5156,12,5.48,8.38,0
"便宜机票订购",78,5,3.4,7.5,0
"杭州飞机时刻表",235,1,0.73,4.71,0
"南京-定机票",10,1,0.49,8.5,0
"订购机票",412,2,1.34,8.28,0
"广州机票预定查询",7,1,0.86,5.67,0
"珠海-飞机票",20,1,0.97,9.89,0
"预订特价机票",154,3,1.89,8.37,0
"飞机票价查询",1030,10,9.63,9.89,0
"丽江飞机票",23,3,6.24,3,0
"1元机票",23,4,2.88,5.65,0
"哈尔滨折扣机票",54,2,1.49,10.35,0
"2013春节机票",17,1,0.75,5.8,0
"去哪儿网机票查询",1080,3,1.35,5.59,0
"五一机票会降价吗",11,1,0.34,1,0
"今年十一放假安排",257,1,0.3,1.11,0
"特惠机票订购",3,1,1.03,7,0
"上海-买机票",167,15,12.76,4.86,0
"西安飞机票查询",80,1,0.76,9.91,0
"哈尔滨订机票-电话",34,2,1.68,9.38,0
"订飞机票",3039,101,64.58,6.95,10
"郑州特价机票网",3,1,0.53,4,0
"天津-机票",2,1,0.65,3,0
"海口机票",74,1,0.42,6.82,0
"南宁航班",43,2,1.66,7.85,0
"上海-机票网",16,1,0.99,4.15,0
"机票查询",23997,131,100.69,10.36,2
"重庆机票预订",38,1,0.59,10.61,0
"呼和浩特航班时刻表",33,1,0.53,4,0
"飞机票什么时候最便宜",12,2,0.99,6,0
"广州航班时刻表",116,4,4.01,6.4,0
"临沂机票",11,1,0.63,5,0
"网上飞机票官网",35,1,0.45,8.91,0
"北京特价飞机票",119,2,0.97,9.68,0
"预订南京机票",36,3,2.24,7.65,0
"成都航班时刻表",88,1,0.63,5.13,0
"深圳飞机票",181,8,5.28,6.28,0
"珠海订机票-电话",5,1,0.69,7,0
"海口机票查询",18,1,1.1,7.07,0
"网上机票",8951,224,185.54,5.89,11
"哈尔滨机票",45,2,1.18,10.51,0
"预订特价机票",465,9,9.15,7.98,0
"网上购票",1899,20,9.35,3.84,0
"哈尔滨的飞机",72,1,0.3,7.29,0
"昆明订机票",15,1,0.98,6.73,0
"海口的机票",9,1,0.62,7.83,0
"和田飞机票",4,2,1.4,9,0
"广州打折机票预订",7,2,1.6,3.4,1
"便宜机票",105,18,19.11,3.32,2
"上海飞机",284,1,0.51,5.15,0
"三亚机票往返",33,2,1.29,6.38,0
"长沙便宜飞机票",84,2,1.27,8.35,0
"昆明飞机",301,2,1.13,7.88,0
"婴儿机票",100,2,0.97,4.85,0
"常州特价机票",9,1,0.68,2,0
"温州折扣机票",9,1,0.6,7.71,0
"赤峰飞机票",62,1,0.45,7.97,0
"打折机票可以退吗",55,2,0.97,2.76,0
"北京特价机票预订",38,4,2.72,4,0
"哪个网买机票便宜",3,1,0.39,4,0
"重庆特价机票",65,2,1.29,10.67,0
"南京打折机票预订",8,1,0.96,3,0
"机票票查询",76,1,0.5,11.14,0
"北京机票订购",268,10,6.15,7.9,1
"飞机票预订",1544,3,1.82,10.8,0
"五一飞机票",46,2,2.31,3.59,0
"深圳特价机票查询",26,6,7.66,4.45,0
"武汉特价机票",26,3,2.06,7.7,1
"济南飞机时刻表",53,1,0.64,4.02,0
"机票酒店",15,2,1.04,3.62,0
"预订便宜机票",92,6,5.26,5.84,0
"那个网站订机票最便宜",9,1,0.46,7.29,0
"电话订天津飞机票",9,1,0.58,6.75,0
"杭州机票",28,1,0.72,10.04,0
"打折机票认证",87,22,13.47,2.46,0
"南昌飞机",90,1,0.67,7.91,0
"打折飞机票查询",158,1,1.1,9.65,0
"深圳机票价格查询",21,1,0.48,11.53,0
"购机票",200,3,3.24,8.19,3
"烟台便宜机票",137,5,4.48,8.19,0
"海口特价机票",237,2,1.48,7.23,0
"廉价机票订购",170,16,13.62,5.97,0
"天津特价飞机票",241,4,2.84,7.13,0
"如何购买特价机票",6,1,0.54,8.5,0
"哈尔滨飞机票",23,1,0.58,8.78,1
"三亚-机票",16,2,1.14,4.27,0
"武汉折扣机票预订",3,1,0.64,2,0
"厦门打折机票查询",5,1,0.75,8.5,0
"哈尔滨飞机票价",157,7,6.92,6.03,0
"哈尔滨飞机票多少钱",31,1,0.63,6.76,0
"航班查询",4871,4,1.99,8.04,0
"南京特价机票查询",30,2,1.58,4.77,0
"重庆打折机票",11,1,0.88,11,0
"机票预订",4014,58,24.84,11.11,3
"机票打折",604,40,25.63,9.67,2
"预订特价北京飞机票",4,1,0.77,9,0
"珠海往返机票",6,1,1.01,7,0
"深圳机票网",9,1,1.3,1.14,0
"民航机票预订",48,1,0.78,6.33,0
"特价成都机票",81,3,1.79,9.37,0
"重庆特价飞机票",282,3,2.85,9.32,0
"那个网站机票便宜",16,1,0.39,7.93,0
"重庆航班时刻表",71,2,1.19,4.82,0
"三亚特惠机票",45,4,1.82,4.97,0
"昆明打折飞机票",70,1,0.7,8.05,0
"昆明机票打折",12,1,0.63,11.6,0
"民航机票预订",77,3,2.91,2.82,0
"机票预订网",1055,11,7.25,10.31,3
"广州机票网上预订",7,2,1.42,3.5,0
"贵阳机票预订",7,1,0.82,10,0
"三亚机票头等舱",4,1,0.53,6,0
"订广州机票最好的网站",5,1,0.82,3.33,0
"北京打折机票网",7,2,1.85,6.25,0
"三亚特价机票价格",24,2,0.9,5.75,0
"机票-便宜",32,5,2.33,4.52,0
"北京的飞机票",560,10,4.46,9.41,1
"武汉-飞机票",97,1,0.39,5.71,0
"机票打折网",118,6,2.56,9.07,3
"艺龙定机票",8,1,0.47,2,0
"乌鲁木齐机票预订",7,1,0.72,7.43,0
"西安飞机",407,2,1.06,6.49,0
"南京机票预订",8,1,0.98,7.83,0
"哈尔滨折扣机票",144,5,5.05,9.48,1
"温州特价机票",7,1,0.6,4.4,0
"郑州特价飞机票",72,1,0.75,9.46,0
"北京出发特价机票",4,1,0.86,4,0
"机票订购网",16,1,0.45,11.07,0
"上海特价机票网",12,1,0.57,6.45,0
"西安航班时刻表",111,2,1.06,4.63,0
"宁波特价机票",37,1,0.63,4.11,0
"海口-飞机票",163,4,3.57,5.05,0
"特价杭州机票",14,1,0.6,7.22,0
"特价机票预订",44,1,0.89,6.94,0
"武汉机票预订",32,1,0.3,10.04,0
"西安航班",67,1,0.3,6.95,0
"西双版纳机票预订",3,1,0.69,5.5,0
"网上订机票官方网站",213,4,1.85,8.91,2
"网上买机票流程",54,1,0.75,5.42,0
"宁波特价机票",7,1,0.69,2,0
"机票网上订票官网",37,1,0.49,14.39,0
"订机票-上海",44,1,0.89,8.26,0
"买机票",213,16,18.58,6.48,3
"郑州航班时刻表",109,6,3.53,4.42,0
"买飞机票的官方网站",104,10,4.55,7.48,2
"深圳-打折机票",35,1,0.9,6.56,0
"三亚打折机票",348,8,5.9,7.15,0
"北京-机票",12,1,0.91,4.6,0
"深圳飞机",1612,9,5.92,6.88,0
"海口航班时刻表",15,1,1.01,4.09,0
"西安便宜飞机票",142,4,2.3,8.82,0
"北京特价机票预定",453,22,23.76,7.17,0
"成都打折机票",19,2,2,8.12,0
"西安特价机票",47,1,0.75,10.75,0
"西安的机票多少钱",5,1,0.81,5,0
"民航机票",30,1,0.72,3.59,0
"大连机票网",14,1,0.49,7.63,0
"春节折扣机票",8,1,0.99,6,0
"特价机票查询",3699,245,258.64,6.33,14
"查飞机票打折",18,2,0.89,10.81,0
"网上订飞机",48,1,0.45,9.45,3
"深圳航班查询",54,1,1.27,4.88,0
"飞机票票价查询",126,3,1.39,8.85,0
"南京特价机票",20,2,1.95,6.56,0
"网上订飞机",101,1,0.34,7.31,0
"厦门订机票-电话",16,1,1.08,8.54,0
"张家界特价机票",9,2,1.5,3,0
"深圳订便宜机票",4,1,0.74,6,0
"西安特价机票",201,1,0.75,9.57,1
"厦门航班时刻表",43,1,0.61,3.89,0
"西安特价机票",80,4,2.76,7.29,0
"海口的航班",31,1,0.58,6.1,0
"南京便宜机票",8,1,0.61,9.2,0
"深圳-打折机票",9,1,0.85,5.4,0
"天津航班时刻表",91,1,0.72,4.56,0
"长沙特价机票",212,2,1.45,7.43,0
"西安飞机时刻表",60,1,0.77,5.44,0
"机票预订网",1119,39,40.86,7.29,7
"长沙机票预订",12,1,1.09,3.92,0
"三亚折扣机票",18,1,0.65,7.88,0
"哪里订广州机票便宜",3,1,0.73,8,0
"西安飞机时刻表",63,1,0.7,6.98,0
"广州便宜机票",10,3,2.78,3.29,0
"重庆飞机",117,1,0.58,6.66,0
"怎么订机票",618,15,12.51,6,1
"哈尔滨航班时刻表",76,4,2.32,4.89,0
"特价机票1-2折",47,8,5.05,2.95,0
"特价昆明飞机票",15,1,0.63,8.25,0
"厦门低价机票",275,7,5.02,7.13,1
"购机票",38,1,1.13,6.21,0
"成都飞机票预定",67,1,0.64,11.98,0
"南宁机票",70,2,1.53,8.93,0
"三亚航班查询",31,1,0.72,5.17,0
"上海的飞机",161,1,0.3,6.51,0
"昆明特价机票",341,1,0.55,9.11,0
"珠海机票多少钱",10,1,0.53,6.33,0
"太原打折机票查询",45,2,1.85,8.56,0
"重庆机票网",18,3,2.13,8.71,0
"折扣机票网",160,5,2.34,8.01,0
"海南航空",5707,8,4.13,6.05,0
"济南飞机时刻表",41,3,2.74,3.89,0
"特价机票预定",1046,50,51.31,8.11,0
"北京飞机时刻表",138,4,2.32,6.66,0
"上海特价飞机票",397,4,4.11,9.39,0
"哪个网站买机票最便宜",19,1,0.48,6.28,0
"三亚便宜机票",148,9,4.42,6.25,0
"南京飞机票预订",8,1,0.79,9.5,0
"大连飞机时刻表",37,1,0.3,4.43,0
"济南的飞机",275,3,1.59,5.21,0
"最低价机票",18,1,0.66,9.19,0
"成都特价机票网",14,1,0.79,5.63,0
"厦门特价机票查询",90,2,1.9,8.94,0
"武汉机票打折",14,1,1.06,7.09,0
"特价飞机票",150,1,0.58,8.65,0
"深圳特价机票网",15,3,2.19,4.75,0
"广州飞机票预定",96,2,1.53,9.89,0
"上海机票团购",2,1,0.85,1,0
"上海特价机票查询",12,1,0.78,10.2,0
"北京便宜飞机票",543,21,17.29,7.02,1
"飞机订票网站",31,2,0.99,9.04,0
"最便宜的飞机票",334,14,7.17,7,0
"特价机票网是真的吗",56,6,2.8,3.47,0
"厦门飞机",430,1,0.6,5.99,0
"济南飞机票查询",21,1,0.77,8,0
"上海到深圳特价机票",15,3,5.76,7.67,0
"贵阳订机票",4,1,0.65,10,0
"上海特价机票",95,4,3.13,5.55,0
"北京的飞机票",336,6,3.97,8.8,0
"昆明便宜机票",41,1,0.44,8.53,0
"三亚的机票",14,1,1.23,4.69,0
"武汉机票特价",9,1,0.66,8,0
"买便宜机票",7,1,0.75,11.33,0
"特价飞机票",428,15,9.24,7.69,3
"途牛特价机票",9,2,0.93,1.25,0
"深圳优惠机票",6,2,1.68,2,0
"最便宜的机票",45,11,9.39,4.59,1
"上海机票查询",49,1,1.08,9.36,0
"南昌机票",36,1,0.7,8.79,0
"杭州飞机票价",63,1,0.62,8.84,0
"武汉便宜机票",34,1,0.75,7.42,0
"厦门-飞机票预订",490,4,1.88,7.11,0
"深圳便宜飞机票",23,1,0.64,7.26,0
"去哪网机票查询",3184,3,1.42,8.68,0
"济南便宜飞机票",15,1,0.75,5.79,0
"深圳-机票网",18,4,5.14,1.07,0
"哪里定飞机票便宜",6,1,0.49,5,0
"海口的航班",28,1,0.8,5.09,0
"机票预订网",879,6,3.38,10.95,0
"厦门打折机票",75,2,1.14,7.7,0
"低价机票查询",59,3,3.23,6.48,0
"上海订特价机票",4,1,0.45,11.5,0
"厦门特价机票",175,3,3.12,8.2,0
"订飞机票",2063,103,103.87,7.63,12
"兰州机票预订",11,1,0.73,6.67,1
"成都飞机票预订",8,1,0.95,11.67,0
"酷讯特价机票",2337,2,0.6,8.7,0
"武汉-机票",245,1,0.46,7.53,0
"北京往返机票",27,1,0.79,7.17,0
"大连飞机票价",143,1,0.69,7.57,0
"机票怎么买便宜",7,1,0.49,8.33,0
"什么网站机票最便宜",15,1,0.49,4.5,1
"广州特价机票预订网",4,1,0.8,4,0
"广州打折机票预订",8,2,1.7,6.63,0
"呼和浩特飞机票多少钱",13,1,0.68,4.8,0
"最便宜的机票网",48,2,0.92,6.89,0
"上海-打折机票",4,1,0.79,2,0
"深圳机票预定网",1,1,1.28,8,0
"广州订机票",5,1,1.07,8.67,0
"郑州特价机票",166,3,2.17,8.32,0
"乌鲁木齐特价机票网",18,1,1,9.15,0
"哪里订机票最便宜",177,19,11.61,5.54,0
"重庆航班查询",289,1,0.71,7.68,0
"重庆便宜飞机票",13,1,0.91,8.5,0
"上海飞机票",1574,3,0.9,9.6,0
"去哪儿网特价机票查询",291,2,0.9,9.32,0
"网上订机票怎么订",28,1,0.5,11.4,0
"买飞机票哪个网站好",9,1,0.59,5.86,0
"上海飞机票",24,1,0.6,8.65,0
"北京特价机票",145,3,2.13,9.22,0
"网上机票",1088,15,7.05,9.06,2
"郑州航班时刻表",83,1,0.69,4.56,0
"合肥特价机票",9,1,0.75,8.11,0
"昆明特价机票",51,1,1.52,6.13,0
"五一机票",56,2,1.37,5.93,0
"飞机票哪里买便宜",12,1,0.42,7,0
"飞机票预订",3562,70,56.38,8.82,3
"订机票最便宜的网站",601,21,18.96,7.92,2
"长春特价机票",18,4,2.82,5.75,0
"机票价格查询",2447,19,15.11,11.45,0
"国内机票",105,1,0.69,10.59,0
"重庆便宜机票",61,1,0.68,9.02,0
"酷讯特价机票",3522,3,1.35,9.27,0
"海口的飞机票",44,2,1.17,6.29,0
"三亚便宜机票",164,10,4.73,6.59,0
"长沙特价机票",21,3,3.73,2.63,0
"特价飞机票",3498,40,21.32,9.78,6
"机票价格查询",1674,21,9.26,10.54,0
"太原特价飞机票",75,2,1.9,9.42,0
"那个网站订机票便宜",13,1,0.46,8.45,0
"网上机票",2610,52,39.44,6.57,0
"去哪网机票查询",1273,5,2.33,9.98,0
"特价机票",5438,35,18.19,10.96,0
"特价往返机票网",38,1,0.54,11.67,0
"艺龙网机票查询",633,2,0.94,5.78,0
"厦门特价机票",49,6,5.27,4.61,0
"济南的飞机票",107,2,1.48,7.08,0
"广州特价飞机票",795,21,15.78,7.04,0
"特价机票预订",144,5,5.04,5.41,0
"武汉便宜机票",70,3,1.96,7.39,0
"南京-机票",205,7,4.95,4.69,0
"十一旅游",100,1,0.99,9.42,0
"太原低价机票",40,1,0.78,9.09,0
"西安机票打折",5,1,0.71,8,0
"西双版纳特价飞机票",14,2,1.32,7,0
"烟台特价机票",118,2,1.5,5.66,0
"飞机票官网",65,2,0.98,8,0
"上海特价飞机票",197,1,0.75,10.22,0
"三亚特价机票",165,5,3.68,7.87,0
"飞机票预定",5008,46,42.45,10.68,2
"厦门飞机票查询",162,1,0.71,8.25,0
"北京航班查询",47,2,1.24,4.75,0
"北京-机票价格",214,5,3.5,7.99,1
"黄山机场",69,1,0.4,2.97,0
"儿童机票规定",182,9,7.32,2.33,0
"上海-预订机票",288,4,1.7,9.41,0
"广州特价机票价格查询",15,1,0.67,8.69,0
"最低折扣机票",38,1,0.75,7.89,0
"飞机票查询网",3896,30,25.15,8.37,3
"飞机票网上订票",135,1,0.69,10.72,0
"厦门的飞机票",129,3,1.69,6.15,0
"天津机票往返",4,1,0.69,8,0
"哈尔滨航班时刻表",131,4,2.84,4.79,0
"沈阳特价机票",23,1,0.58,10,0
"北京机票票价查询",209,10,8,7.06,0
"特价机票",4125,132,80.91,9.39,3
"飞机票网上订票官网",1114,1,0.45,12.95,3
"深圳便宜机票",18,1,0.69,5.83,0
"机票查询-携程网",1036,5,4.38,5.41,0
"什么时候买机票便宜",23,2,0.9,8.53,0
"汕头机票",8,1,0.75,6.75,0
"携程飞机票",22,1,0.47,10.5,0
"端午节飞机",10,2,1.18,4,1
"广州-飞机票",53,4,2.76,6.21,0
"丹东机票预订",8,1,0.65,7.17,0
"乌鲁木齐特价机票",113,2,1.49,10.36,0
"南昌的飞机票",16,1,0.53,8.07,0
"合肥机票预订",6,1,0.75,6.2,0
"北京廉价机票",13,1,0.92,5.67,0
"飞机票特价查询",215,2,0.96,11.56,0
"郑州飞机时刻表",37,1,0.79,4.67,0
"广州-机票",19,1,0.95,5.18,0
"特价机票预订",112,1,0.75,7.28,0
"机票团购",109,2,0.94,7.91,0
"便宜机票",86,9,6.1,6.33,0
"厦门折扣机票",74,1,0.78,8.18,0
"三亚低价机票",80,2,1.42,7.91,0
"打折机票认证",100,11,6.89,3.42,0
"广州-机票查询",199,1,0.91,8.46,0
"订机票最便宜的网站",564,49,49.58,5.8,3
"如何网上订票",78,1,0.48,3.53,0
"深圳机票价格",23,2,1.34,7.22,0
"张家界飞机票",12,1,0.75,3.67,0
"深圳机票预订",23,3,2.4,5.45,0
"上海特价机票网",7,1,0.78,10.5,0
"昆明飞机时刻表",36,1,0.3,5.36,0
"哪个网订机票便宜",11,1,0.5,7,0
"呼和浩特特价机票查询",26,1,1.02,5.57,0
"呼和浩特-飞机票",32,1,0.68,8.55,0
"预订折扣机票",64,6,5.43,6.42,1
"大连机票",30,1,0.82,5.07,0
"攀枝花特价机票",4,1,0.69,2,0
"特价飞机票",185,13,12.55,3.87,0
"厦门特价机票",50,3,1.95,8.65,0
"广州特价机票网",7,1,0.55,7,0
"深圳机票预定网",7,1,1.29,6,0
"上海订机票",232,3,1.59,10.17,0
"购买飞机票的网站",29,1,0.5,7.81,0
"订购机票",207,1,0.79,9.55,0
"上海飞机票查询",41,1,0.91,7.51,0
"优惠机票订购",8,2,1.96,4.25,0
"特价济南飞机票",22,2,1.37,8.33,0
"打折机票查询",267,9,7.3,9.45,1
"成都-机票",6,1,1.07,3.67,0
"特惠机票",245,9,9.51,8.79,0
"飞机折扣",18,1,0.49,7.4,0
"成都特价机票",27,1,0.63,9.71,0
"网上机票",217,5,4.95,8.03,0
"深圳飞机票查询",73,5,7.1,6.82,0
"太原机票多少钱",13,1,0.58,7,0
"乌鲁木齐飞机票查询",124,1,0.96,9.69,0
"特价厦门飞机票查询",21,1,0.7,7.89,0
"三亚机票头等舱",4,1,0.53,4,0
"深圳到晋江打折机票",2,1,1.03,4,0
"抢机票",18,2,1.29,4,0
"广州航班时刻表",105,2,1.38,6.23,0
"5.1打折机票",8,1,1.09,1,0
"南京打折机票",8,1,0.92,5.5,0
"机票",68908,1499,2718.9,5.46,54
"打折机票认证",5,1,0.67,4,0
"长沙特价飞机票",149,2,1.37,9.34,0
"什么网站机票便宜",7,1,0.46,5.83,0
"厦门航班查询",64,1,0.62,7,0
"乌鲁木齐飞机时刻表",36,2,1.26,4.73,0
"深圳机票多少钱",41,1,0.64,8.85,0
"昆明航班查询",141,1,0.69,6.58,0
"机票订购官网",85,1,0.45,9.94,0
"上海机票",106,2,1.85,6.34,0
"北京订机票的网站",7,2,1.13,4.8,0
"飞机票预定",6990,44,21.89,10.43,1
"特价机票网可靠吗",53,3,1.43,2.6,0
"杭州飞机时刻表",25,1,0.65,5,3
"儿童飞机票怎么买",49,4,3.16,2.73,0
"飞机票",29096,84,62.22,8.18,1
"太原的航班",311,2,1.22,7.3,0
"广州特价飞机票",85,2,1.36,8.09,0
"携程机票查询",89,3,1.42,10.34,0
"机票打折",817,54,34.43,8.9,0
"武汉特价机票",23,4,2.38,4.44,0
"春节订机票",7,1,0.82,4.5,0
"三亚-机票价格",44,1,0.63,8.58,0
"民航机票预订",62,2,1.83,7.02,0
"三亚机票价格",48,1,0.65,8.64,0
"北京-特价机票",284,23,20.69,6.12,1
"打折机票查询",598,32,33.23,9.1,0
"什么网订机票便宜",8,2,0.95,6.33,3
"深圳便宜机票",5,1,0.85,3.67,0
"深圳机票预订",30,4,4.93,9.21,0
"南京飞机票价",78,1,0.3,9.35,0
"珠海机票多少钱",7,1,0.63,4,0
"昆明机票多少钱",17,1,0.6,8,0
"机票购买",18,1,0.5,10.73,0
"飞机票哪里最便宜",11,1,0.5,8.33,0
"上海订机票",22,3,2.67,8.11,0
"预定天津特价机票",5,1,0.63,9,0
"国内低价机票",30,5,4.17,6.79,0
"广州机票",62,3,1.85,8.8,0
"大连飞机票订购",9,1,0.78,3,0
"上海特价飞机票",6,1,0.76,2.5,0
"云南半自助游",13,1,0.82,8,0
"上海的飞机票",155,3,2.31,7.93,0
"特价机票-携程旅行网",319,11,7.93,6.31,0
"机票特价",33,3,2.5,3.88,0
"三亚机票",273,2,1.51,7.93,0
"特价呼和浩特机票查询",25,1,0.97,6.05,0
"三亚低价机票",30,1,1.09,9.12,0
"乌鲁木齐飞机票价",63,1,0.3,8.19,0
"大连特价机票",59,1,0.77,8.62,0
"一折特价机票",10,1,0.73,2.71,0
"广州机票团购",3,1,0.98,2,0
"飞机票预订",1500,3,1.59,11.62,0
"机票最低折扣",28,1,0.48,10.31,0
"深圳飞机票",181,2,1.66,6.11,0
"大连-飞机票",58,1,0.78,7.63,0
"北京便宜机票",200,5,3.59,7.34,0
"烟台航班查询",91,2,1.41,6.32,0
"长沙机票头等舱",6,1,0.61,2,0
"网上机票",1823,12,11.79,8.21,2
"宜昌特价机票",2,1,0.75,5,0
"特价机票查询",4425,160,98.41,8.64,9
"长沙机票",75,1,0.79,7.32,0
"机票预订网站",23,1,1.08,6.16,0
"打折机票网",527,5,3.17,8.76,0
"长沙飞机票查询",306,1,0.64,8.28,0
"上海-机票",14,1,0.85,4.29,0
"武汉机票特价",14,1,0.75,6.5,0
"哈尔滨机票价格",29,1,0.79,7.88,0
"途牛机票查询",6,3,1.39,1,0
"深圳航班预订",6,1,0.77,4,0
"机票查询",18554,130,101.25,10.25,7
"广州特价机票查询",11,2,1.85,10,0
"武汉订机票",16,1,0.3,8,0
"呼和浩特的飞机",99,4,3.75,6.12,0
"机票特价查询",30,1,0.49,9.44,0
"杭州的机票",90,4,2.16,9.67,0
"5月份机票特价",7,1,1.05,5.4,0
"打折机票可以改签吗",72,2,0.96,2.21,0
"查飞机票",36,1,0.68,10.68,0
"哈尔滨机票网",9,1,0.56,3.29,0
